anny;districte;barri;senseDones;primarisDones;secundarisDones;mitjansDones;superiorsDones;senseHomes;primarisHomes;secundarisHomes;mitjansHomes;superiorsHomes
2013;8;55. Ciutat Meridiana;677;1517;1205;701;249;510;1570;1451;638;180
2013;8;56. Vallbona;104;178;143;74;55;59;173;181;80;39
2013;9;57. la Trinitat Vella;661;1187;1132;711;408;512;1489;1402;799;279
2013;9;58. Baro de Viver;207;323;316;131;55;116;299;341;148;57
2013;9;59. el Bon Pastor;734;1428;1393;987;658;503;1481;1648;1083;505
2013;9;60. Sant Andreu;2264;5408;5904;6326;5924;1390;3954;5744;7244;4276
2013;9;61. la Sagrera;1163;3009;3285;3320;2820;679;2188;3130;3584;2099
2013;9;62. el Congres i els Indians;638;1464;1467;1611;1489;317;972;1423;1684;1092
2013;9;63. Navas;832;2271;2378;2548;2335;473;1390;2225;2770;1871
2013;10;64. el Camp de l'Arpa del Clot;1376;3658;3904;4393;4732;772;2500;3662;4810;3815
2013;10;65. el Clot;983;2504;2861;2973;2917;598;1957;2845;3378;2389
2013;10;66. el Parc i la Llacuna del Poblenou;503;1223;1292;1589;2080;306;919;1319;1732;1769
2013;10;67. la Vila Olimpica del Poblenou;202;290;492;913;2016;131;202;481;934;1907
2013;10;68. el Poblenou;1273;2707;2847;3277;4205;775;2273;3073;3702;3550
2013;10;69. Diagonal Mar i el Front Maritim del Poblenou;418;790;888;1182;2140;232;596;948;1328;1970
2013;10;70. el Besos i el Maresme;1764;2670;2588;1690;950;1136;3473;3085;1735;727
2013;10;71. Provencals del Poblenou;943;1915;2148;2086;1865;616;1618;2244;2300;1544
2013;10;72. Sant Marti de Provencals;1497;3091;2905;2686;1988;799;2230;2983;2955;1567
2013;10;73. la Verneda i la Pau;2087;3452;3548;2709;1591;1299;2844;3701;2955;1159
2012;1;1. el Raval;2002;5918;3685;3433;4407;1699;9328;4795;4013;4158
2012;1;2. el Barri Gotic;525;1296;1051;1547;2542;474;2067;1470;1908;2370
2012;1;3. la Barceloneta;1055;1862;1348;1228;1592;630;1922;1660;1430;1395
2012;1;4. Sant Pere, Santa Caterina i la Ribera;942;2005;1534;2089;3743;643;2289;1745;2347;3156
2012;2;5. el Fort Pienc;922;2683;2779;3779;4991;600;2032;2322;3981;4207
2012;2;6. la Sagrada Familia;1733;4959;4827;5992;7813;991;3160;4149;6301;6370
2012;2;7. la Dreta de l'Eixample;966;2610;2926;5443;9076;543;1383;2166;4883;7997
2012;2;8. l'Antiga Esquerra de l'Eixample;999;2824;3154;5228;8129;593;1656;2437;4884;7193
